No.,"INVOICE NUMBER","DO NUMBER",IMEI,"STORE TRANFER ( IN )","STORE TRANFER ( OUT )","DISTRIBUTOR / WAREHOUSE ( IN )","DISTRIBUTOR / WAREHOUSE ( OUT )",WAREHOUSE,REMARK,"CREATED BY",TIME
84,IN670530-00028,DO670610-00008,863671065202172,"BLX - A yun mobile ບໍລະຄຳໄຊ","BLX - A ying mobile ປາກກະດິງ","352026723 - BLX - A yun mobile","352026722 - BLX - A ying mobile Parkkading","Kerry-Awen (Thakhaek)","N1542 Approval No.：202406081236000543735",Admin,"2024-06-10 13:06:34"
85,IN670530-00028,DO670610-00009,863671065192951,"BLX - A yun mobile ບໍລະຄຳໄຊ","BLX - A ying mobile ປາກກະດິງ","352026723 - BLX - A yun mobile","352026722 - BLX - A ying mobile Parkkading","Kerry-Awen (Thakhaek)","N1542 Approval No.：202406081236000543735",Admin,"2024-06-10 13:06:34"
86,IN670530-00028,DO670610-00010,863671065199410,"BLX - A yun mobile ບໍລະຄຳໄຊ","BLX - A ying mobile ປາກກະດິງ","352026723 - BLX - A yun mobile","352026722 - BLX - A ying mobile Parkkading","Kerry-Awen (Thakhaek)","N1542 Approval No.：202406081236000543735",Admin,"2024-06-10 13:06:34"
87,,DO670610-00011,866155066396412,"XKH - YH mobile2","XKH - Mai mobile2","352032239 - XKH - YH mobile","352027039 - XKH - Mai mobile Numeum","Kerry-A Hua (Xiengkhuang)","N2550 Approval No.：202406081408000499171",Admin,"2024-06-10 13:06:19"
88,IN670528-00056,DO670610-00012,867993076507878,"LNT - SP mobile","LNT - KP mobile1","352032221 - LNT - SP mobile","352026844 - LNT - KP mobile1","Kerry-A Yao (Loungnamtha)","N390 Approval No.：202406082001000198438",Admin,"2024-06-10 13:06:44"
89,IN670606-00037,DO670610-00013,862774061609217,"LPB - HX","LPB - TK","352026874 - LPB - HX","352026892 - LPB - TK","Kerry-QZ (Loungprabang)","N0231 Approval No.：202406081732000052594",Admin,"2024-06-10 13:06:30"
90,IN670515-00051,DO670610-00014,863671064340551,"SVK - INEW Savan1 Agent Store","SVK - TATA Mobile","352027416 - SVK - INEW Savan1 Agent Shop","352027462 - SVK - TATA Mobile","Kerry-INEW SVK (Savanakhet)","N518 Approval No.：202406091050000411485",Admin,"2024-06-10 13:06:17"
91,IN670602-00042,DO670610-00015,863671065208831,"KAM - Vongsa mobile1","KAM - Awen mobile2","352026834 - KAM - Vongsa mobile1","352026799 - KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)","N2332 Approval No.：202406101015000337877",Admin,"2024-06-10 13:06:04"
92,,DO670610-00016,862774060256754,"LNT - SP mobile","LNT - Aping mobile ຫຼວງນ້ຳທາ","352032221 - LNT - SP mobile","352026838 - LNT - Aping mobile","Kerry-A Yao (Loungnamtha)","N390 Approval No.：202406101038000179216",Admin,"2024-06-10 13:06:45"
93,IN670519-00010,DO670610-00017,863671065724290,"LNT - SP mobile","LNT - Hongda mobile7","352032221 - LNT - SP mobile","352032005 - LNT - Hongda mobile7","Kerry-A Yao (Loungnamtha)","N390 Approval No.：202406101000000193471",Admin,"2024-06-10 13:06:26"
94,IN670606-00097,DO670610-00018,862774061954613,"SVK - TN phone1","SVK - Lao derm Mobile 1","352027400 - SVK - Atuan mobile","352027428 - SVK - Lao derm Mobile","Kerry-INEW SVK (Savanakhet)","N518 Approval No.：202406101114000150548",Admin,"2024-06-10 13:06:31"
95,IN670608-00048,DO670610-00019,866227060115476,"XKH - Uni Mobile ຊຽງຂວາງ","XKH - Ahua Mobile1 Agent Shop","352027044 - XKH - Uni Mobile","352027024 - XKH - Ahua Mobile1 Agent Shop","Kerry-A Hua (Xiengkhuang)","N2550 Approval No.：202406101132000049400",Admin,"2024-06-10 13:06:36"
96,IN670608-00048,DO670610-00020,866227060115591,"XKH - Uni Mobile ຊຽງຂວາງ","XKH - Ahua Mobile1 Agent Shop","352027044 - XKH - Uni Mobile","352027024 - XKH - Ahua Mobile1 Agent Shop","Kerry-A Hua (Xiengkhuang)","N2550 Approval No.：202406101132000049400",Admin,"2024-06-10 13:06:36"
97,IN670515-00051,DO670610-00021,863671064339017,"SVK - INEW Savan1 Agent Store","SVK - TATA Mobile","352027416 - SVK - INEW Savan1 Agent Shop","352027462 - SVK - TATA Mobile","Kerry-INEW SVK (Savanakhet)","N518 Approval No.：202406101120000533724",Admin,"2024-06-10 13:06:21"
98,IN670603-00121,DO670610-00022,867993077074357,"VT1 - DDE Dongpalan","VT1 - LCC9 Nongchan","352027197 - VT1 - DDE Dongdok","352027235 - VT1 - LCC1 Dongpalan","WH - Stock OPPO (Mark)",,M20180315,"2024-06-10 15:06:12"
