Code,"Mnemonic code","Finance Client Name","Distributor My Side","Distributor Your Side","Finance Warehouse","Finance Warehouse Code","Accounting organization(My Side)","Accounting organization(Your Side)",Creator,Remarks,Network,Off/On,"Cross - accounting organizations are allowed"
C11150266611000049,352027342,"352027342 - VT1 - ZJ","WH - Stock OPPO (Mark)","VT1 - ZJ","WH - Stock OPPO (Mark)",S11150266611000005,"Stock OPPO Mark Finance",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000050,352032433,"352032433 - VT3 - Joy mobile","VT3 - Win Dealer (Vientiane)","VT3 - Joy mobile","Win Dealer",S11150266611000022,"Win Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000051,352032426,"352032426 - ODX - Ayang mobile","ODX - Abao Dealer (Oudomxai)","ODX - Ayang mobile","Abao Dealer",S11150266611000010,"Abao Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000052,352032425,"352032425 - ODX - ODX mobile","ODX - Abao Dealer (Oudomxai)","ODX - ODX mobile","Abao Dealer",S11150266611000010,"Abao Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000053,352032418,"352032418 - VT3 - Namo IT","VT3 - Win Dealer (Vientiane)","VT3 - Namo IT","Win Dealer",S11150266611000022,"Win Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000054,352032033,"352032033 - BKE - SP Mobile","BKE - LH Dealer (Bokeo)","BKE - SP Mobile","LH Dealer",S11150266611000015,"LH Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000055,352027068,"352027068 - XYB - A sing mobile","XYB - Siam Dealer (Xaiyabouli)","XYB - A sing mobile","Siam Dealer",S11150266611000020,"Siam Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000056,352032405,"352032405 - XSB - Avone mobile","XSB - Aqing Dealer (Xaisomboun)","XSB - Avone mobile","Aqing Dealer",S11150266611000019,"Aqing Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000057,352032403,"352032403 - BLX - Ajoun mobile","KAM - Awen Dealer (Thakhaek)","BLX - Ajoun mobile","Awen Dealer",S11150266611000024,"Awen Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000058,352032401,"352032401 - LNT - KK Mobile","LNT - Ayao Dealer (Loungnamtha)","LNT - KK Mobile","Ayao Dealer",S11150266611000012,"Ayao Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000059,352027194,"352027194 - VT1 - ComCom Mobile","WH - Stock OPPO (Mark)","VT1 - ComCom Mobile","WH - Stock OPPO (Mark)",S11150266611000005,"Stock OPPO Mark Finance",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000060,352032386,"352032386 - BLX - Boo mobile2","KAM - Awen Dealer (Thakhaek)","BLX - Boo mobile2","Awen Dealer",S11150266611000024,"Awen Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000061,352032382,"352032382 - HPN - Nu mobile","HPN - A Lei Dealer (Huaphan)","HPN - Nu mobile","A Lei Dealer",S11150266611000014,"A Lei Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000062,352032381,"352032381 - HPN - Axing mobile","HPN - A Lei Dealer (Huaphan)","HPN - Axing mobile","A Lei Dealer",S11150266611000014,"A Lei Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000063,352027147,"352027147 - VT1 - A ping Km 21","WH - Stock OPPO (Mark)","VT1 - A ping Km 21","WH - Stock OPPO (Mark)",S11150266611000005,"Stock OPPO Mark Finance",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000064,352031744,"352031744 - CPS - Kim mobile","CPS - JK Dealer (Pakse)","CPS - Kim mobile","JK Dealer",S11150266611000008,"JK Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000065,352027303,"352027303 - VT2 - Sungthong Hardkieng","VT2 - inew Dealer (Vientiane)","VT2 - Sungthong Hardkieng","Inew Dealer",S11150266611000023,"inew VT Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000066,352032330,"352032330 - VT1 - Aen mobile","WH - Stock OPPO (Mark)","VT1 - Aen mobile","WH - Stock OPPO (Mark)",S11150266611000005,"Stock OPPO Mark Finance",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000067,352032316,"352032316 - VT1 - Nine mobile","WH - Stock OPPO (Mark)","VT1 - Nine mobile","WH - Stock OPPO (Mark)",S11150266611000005,"Stock OPPO Mark Finance",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000068,352032327,"352032327 - VT3 - Ophar mobile","VT3 - Win Dealer (Vientiane)","VT3 - Ophar mobile","Win Dealer",S11150266611000022,"Win Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000069,352032326,"352032326 - VT3 - Touk vilai","VT3 - Win Dealer (Vientiane)","VT3 - Touk vilai","Win Dealer",S11150266611000022,"Win Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000070,352032325,"352032325 - VT3 - Sdy mobile","VT3 - Win Dealer (Vientiane)","VT3 - Sdy mobile","Win Dealer",S11150266611000022,"Win Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000071,352026752,"352026752 - BLX - paksan phonetek","KAM - Awen Dealer (Thakhaek)","BLX - paksan phonetek","Awen Dealer",S11150266611000024,"Awen Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000072,352026746,"352026746 - BLX - HC mobile","KAM - Awen Dealer (Thakhaek)","BLX - HC mobile","Awen Dealer",S11150266611000024,"Awen Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000073,352027232,"352027232 - VT3 - Laos LH Mobile","VT3 - Win Dealer (Vientiane)","VT3 - Laos LH Mobile","Win Dealer",S11150266611000022,"Win Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000074,352032284,"352032284 - XKH - Tiamoua mobile","XKH - Ahua Dealer (XiengKhuang)","XKH - Tiamoua mobile","Ahua Dealer",S11150266611000018,"Ahua Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000075,352027322,"352027322 - VT3 - TM Center Service","VT3 - Win Dealer (Vientiane)","VT3 - TM Center Service","Win Dealer",S11150266611000022,"Win Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000076,352027183,"352027183 - VT1 - Bigboss Phone","WH - Stock OPPO (Mark)","VT1 - Bigboss Phone","WH - Stock OPPO (Mark)",S11150266611000005,"Stock OPPO Mark Finance",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000077,352032281,"352032281 - VT1 - Sungthong Hardkieng","WH - Stock OPPO (Mark)","VT1 - Sungthong Hardkieng","WH - Stock OPPO (Mark)",S11150266611000005,"Stock OPPO Mark Finance",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000078,352026757,"352026757 - BLX - Sakon mobile ??????","KAM - Awen Dealer (Thakhaek)","BLX - Sakon mobile ວຽງທອງ","Awen Dealer",S11150266611000024,"Awen Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000079,352032272,"352032272 - BLX - NikNiw","KAM - Awen Dealer (Thakhaek)","BLX - NikNiw","Awen Dealer",S11150266611000024,"Awen Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000080,352026813,"352026813 - KAM - Lao AC","KAM - Awen Dealer (Thakhaek)","KAM - Lao AC","Awen Dealer",S11150266611000024,"Awen Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000081,352032258,"352032258 - VT1 - SCV mobile","WH - Stock OPPO (Mark)","VT1 - SCV mobile","WH - Stock OPPO (Mark)",S11150266611000005,"Stock OPPO Mark Finance",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000082,352032264,"352032264 - CPS - AK mobile","CPS - JK Dealer (Pakse)","CPS - AK mobile","JK Dealer",S11150266611000008,"JK Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000083,352032254,"352032254 - XSB - Boy mobile","XSB - Aqing Dealer (Xaisomboun)","XSB - Boy mobile","Aqing Dealer",S11150266611000019,"Aqing Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000084,352027059,"352027059 - XSB - NN mobile","XSB - Aqing Dealer (Xaisomboun)","XSB - NN mobile","Aqing Dealer",S11150266611000019,"Aqing Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000085,352032239,"352032239 - XKH - YH mobile","XKH - Ahua Dealer (XiengKhuang)","XKH - YH mobile","Ahua Dealer",S11150266611000018,"Ahua Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000086,352027048,"352027048 - XKH - YH mobile old","XKH - Ahua Dealer (XiengKhuang)","XKH - YH mobile old","Ahua Dealer",S11150266611000018,"Ahua Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000087,352032238,"352032238 - XSB - Asue mobile","XSB - Aqing Dealer (Xaisomboun)","XSB - Asue mobile","Aqing Dealer",S11150266611000019,"Aqing Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000088,352032246,"352032246 - LNT - GR mobile","LNT - Ayao Dealer (Loungnamtha)","LNT - GR mobile","Ayao Dealer",S11150266611000012,"Ayao Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000089,352027036,"352027036 - XKH - kouKham mobile","XKH - Ahua Dealer (XiengKhuang)","XKH - kouKham mobile","Ahua Dealer",S11150266611000018,"Ahua Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000090,352032233,"352032233 - XKH - Toumoua mobile","XKH - Ahua Dealer (XiengKhuang)","XKH - Toumoua mobile","Ahua Dealer",S11150266611000018,"Ahua Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000091,352026957,"352026957 - CPS - Khamdeng Mobile","CPS - JK Dealer (Pakse)","CPS - Khamdeng Mobile","JK Dealer",S11150266611000008,"JK Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000092,352026684,"352026684 - ATP - Ata mobile1 Agent Shop","ATP - ATA Dealer (Attappue)","ATP - Ata mobile1 Agent Shop","ATA Dealer",S11150266611000016,"ATA Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000093,352026708,"352026708 - BKE - LH Mobile Agent Shop","BKE - LH Dealer (Bokeo)","BKE - LH Mobile Agent Shop","LH Dealer",S11150266611000015,"LH Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000094,352026764,"352026764 - HPN - A Lei Mobile2 Agent (Huaphan)","HPN - A Lei Dealer (Huaphan)","HPN - A Lei Mobile2 Agent (Huaphan)","A Lei Dealer",S11150266611000014,"A Lei Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000095,352026840,"352026840 - LNT - Ayao mobile1 Agent Shop","LNT - Ayao Dealer (Loungnamtha)","LNT - Ayao mobile1 Agent Shop","Ayao Dealer",S11150266611000012,"Ayao Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000096,352026885,"352026885 - LPB - QZ Mobile Agent Shop","LPB - QZ Dealer (Loungprabang)","LPB - QZ Mobile Agent Shop","QZ Dealer",S11150266611000011,"QZ Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000097,352026897,"352026897 - ODX - Abao mobile1 Agent Shop","ODX - Abao Dealer (Oudomxai)","ODX - Abao mobile1 Agent Shop","Abao Dealer",S11150266611000010,"Abao Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000098,352026915,"352026915 - PSL - JW mobile Agent Shop","PSL - JW Dealer (Phongsaly)","PSL - JW mobile Agent Shop","JW Dealer",S11150266611000009,"JW Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000099,352026952,"352026952 - CPS - Jk mobile3 Agent Shop","CPS - JK Dealer (Pakse)","CPS - Jk mobile3 Agent Shop","JK Dealer",S11150266611000008,"JK Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000100,352027024,"352027024 - XKH - Ahua Mobile1 Agent Shop","XKH - Ahua Dealer (XiengKhuang)","XKH - Ahua Mobile1 Agent Shop","Ahua Dealer",S11150266611000018,"Ahua Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000101,352027051,"352027051 - XSB - Aqing Agent Shop","XSB - Aqing Dealer (Xaisomboun)","XSB - Aqing Agent Shop","Aqing Dealer",S11150266611000019,"Aqing Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000102,352027105,"352027105 - XYB - Siam Mobile Agent Shop","XYB - Siam Dealer (Xaiyabouli)","XYB - Siam Mobile Agent Shop","Siam Dealer",S11150266611000020,"Siam Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000103,352027347,"352027347 - SLV - Abo mobile1 Agent Shop","SLV - ABO Dealer (Salavan)","SLV - Abo mobile1 Agent Shop","ABO Dealer",S11150266611000017,"ABO Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000104,352027216,"352027216 - VT2 - INEW SamSung Agent Shop","VT2 - inew Dealer (Vientiane)","VT2 - INEW SamSung Agent Shop","Inew Dealer",S11150266611000023,"inew VT Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000105,352027334,"352027334 - VT3 - Win Samsung 2 Agent Shop","VT3 - Win Dealer (Vientiane)","VT3 - Win Samsung 2 Agent Shop","Win Dealer",S11150266611000022,"Win Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000106,352027416,"352027416 - SVK - INEW Savan1 Agent Shop","SVK - INEW Dealer (Savannakhet)","SVK - INEW Savan1 Agent Shop","Inew SVK Dealer",S11150266611000013,"INEW SVK Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000107,352026799,"352026799 - KAM - Awen mobile1 Agent Shop","KAM - Awen Dealer (Thakhaek)","KAM - Awen mobile1 Agent Shop","Awen Dealer",S11150266611000024,"Awen Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000108,352032217,"352032217 - CPS - LG mobile","CPS - JK Dealer (Pakse)","CPS - LG mobile","JK Dealer",S11150266611000008,"JK Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000109,352027119,"352027119 - XYB - TL mobile","XYB - Siam Dealer (Xaiyabouli)","XYB - TL mobile","Siam Dealer",S11150266611000020,"Siam Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000110,352027022,"352027022 - XKH - A Liu meuangkhoun MB","XKH - Ahua Dealer (XiengKhuang)","XKH - A Liu meuangkhoun MB","Ahua Dealer",S11150266611000018,"Ahua Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000111,352027011,"352027011 - SEK - Youy phone","SEK - ST Dealer (Sekong)","SEK - Youy phone","ST Dealer",S11150266611000006,"ST Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000112,352027127,"352027127 - VT3 - a fang","VT3 - Win Dealer (Vientiane)","VT3 - a fang","Win Dealer",S11150266611000022,"Win Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000113,352032221,"352032221 - LNT - SP mobile","LNT - Ayao Dealer (Loungnamtha)","LNT - SP mobile","Ayao Dealer",S11150266611000012,"Ayao Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000114,352031929,"352031929 - LNT - Jing Fei mobile","LNT - Ayao Dealer (Loungnamtha)","LNT - Jing Fei mobile","Ayao Dealer",S11150266611000012,"Ayao Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000115,352027171,"352027171 - VT1 - ANC IT","WH - Stock OPPO (Mark)","VT1 - ANC IT","WH - Stock OPPO (Mark)",S11150266611000005,"Stock OPPO Mark Finance",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000116,352032135,"352032135 - VT3 - DD mobile","VT3 - Win Dealer (Vientiane)","VT3 - DD mobile","Win Dealer",S11150266611000022,"Win Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000117,352027172,"352027172 - VT1 - Apple","WH - Stock OPPO (Mark)","VT1 - Apple","WH - Stock OPPO (Mark)",S11150266611000005,"Stock OPPO Mark Finance",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000118,352027213,"352027213 - VT1 - HY mobile","WH - Stock OPPO (Mark)","VT1 - HY mobile","WH - Stock OPPO (Mark)",S11150266611000005,"Stock OPPO Mark Finance",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000119,352027180,"352027180 - VT1 - Azing mobile Hardxayfong","WH - Stock OPPO (Mark)","VT1 - Azing mobile Hardxayfong","WH - Stock OPPO (Mark)",S11150266611000005,"Stock OPPO Mark Finance",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000120,352027248,"352027248 - VT3 - Max mobile","VT3 - Win Dealer (Vientiane)","VT3 - Max mobile","Win Dealer",S11150266611000022,"Win Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000121,352027257,"352027257 - VT1 - NH mobile","WH - Stock OPPO (Mark)","VT1 - NH mobile","WH - Stock OPPO (Mark)",S11150266611000005,"Stock OPPO Mark Finance",,Admin,"DB Insert","All Network",ON,Yes
C111502666110000122,352027287,"352027287 - VT1 - SengLao Mobile","WH - Stock OPPO (Mark)","VT1 - SengLao Mobile","WH - Stock OPPO (Mark)",S11150266611000005,"Stock OPPO Mark Finance",,Admin,"DB Insert","All Network",ON,Yes
