No.,"INVOICE NUMBER","DO NUMBER",IMEI,"STORE TRANFER ( IN )","STORE TRANFER ( OUT )","DISTRIBUTOR / WAREHOUSE ( IN )","DISTRIBUTOR / WAREHOUSE ( OUT )",WAREHOUSE,REMARK,"CREATED BY",TIME
31,IN670715-00102,DO670805-00010,868800075547954,"SEK - Zoubel mobile","SEK - ST Mobile2 Agent Shop","352027012 - SEK - Zoubel mobile","352031994 - SEK - ST Mobile2 Agent Shop","Kerry-ST (Sekong)","N1535 Approval No.：202408051242000294313",Admin,"2024-08-05 11:08:51"
32,IN670715-00102,DO670805-00011,868800075547392,"SEK - Long phone2","SEK - ST Mobile2 Agent Shop","352027006 - SEK - Long phone","352031994 - SEK - ST Mobile2 Agent Shop","Kerry-ST (Sekong)","N1535 Approval No.：202408051237000383005",Admin,"2024-08-05 11:08:41"
33,IN670803-00092,DO670805-00012,868998071561670,"SEK - Long phone2","SEK - Long phone ເຊກອງ","352027006 - SEK - Long phone","352027006 - SEK - Long phone","Kerry-ST (Sekong)","N1535 Approval No.：202408051234000475935",Admin,"2024-08-05 12:08:24"
34,,DO670805-00013,862780063300358,"LNT - Ayao mobile1 Agent Store","LNT - GR mobile","352026840 - LNT - Ayao mobile1 Agent Shop","352032246 - LNT - GR mobile","Kerry-A Yao (Loungnamtha)","N2558 Approval No.：202408051147000288875",Admin,"2024-08-05 12:08:00"
35,IN670728-00012,DO670805-00014,867650074689518,"BKE - LF Mobile2","BKE - LF Mobile2","352031627 - BKE - LF Mobile1","352031627 - BKE - LF Mobile1","Kerry-LH (Bokeo)","N2646 Approval No.：202408051328000187112",Admin,"2024-08-05 13:08:16"
36,IN670513-00139,DO670805-00015,861945061239350,"Catty Laos Virtual Mobile","BKE - LH Mobile1 Agent Store","352027521 - Catty Laos Virtual","352026708 - BKE - LH Mobile Agent Shop","Kerry-LH (Bokeo)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
37,IN670513-00139,DO670805-00016,864591051323775,"Catty Laos Virtual Mobile","LPB - Zan mobile","352027521 - Catty Laos Virtual","352026895 - LPB - Zan mobile","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
38,IN670513-00139,DO670805-00017,869715067166192,"Catty Laos Virtual Mobile","LPB - Lao mobile1 ຫຼວງພະບາງ","352027521 - Catty Laos Virtual","352026679 - LPB - Lao mobile1","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
39,IN670513-00139,DO670805-00018,869715061775592,"Catty Laos Virtual Mobile","XSB - Aqing mobile2 Agent Store","352027521 - Catty Laos Virtual","352027051 - XSB - Aqing Agent Shop","Kerry-Aqing (Xaisomboun)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
40,IN670513-00139,DO670805-00019,869715067161714,"Catty Laos Virtual Mobile","LPB - Lao mobile1 ຫຼວງພະບາງ","352027521 - Catty Laos Virtual","352026679 - LPB - Lao mobile1","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
41,IN670513-00139,DO670805-00020,865947066566999,"Catty Laos Virtual Mobile","LPB - AT2 ຊຽງເງິນ","352027521 - Catty Laos Virtual","352026866 - LPB - AT2 Xiengeun","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
42,IN670513-00139,DO670805-00021,864306061814279,"Catty Laos Virtual Mobile","LPB - Aphing Mobile ເມືອງປາກແຊງ","352027521 - Catty Laos Virtual","352026861 - LPB - Aphing Mobile","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
43,IN670513-00139,DO670805-00022,866155067100870,"Catty Laos Virtual Mobile","SVK - Tomee","352027521 - Catty Laos Virtual","352027467 - SVK - Tomee","Kerry-INEW SVK (Savanakhet)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
44,IN670513-00139,DO670805-00023,866155064707230,"Catty Laos Virtual Mobile","XYB - Ting mobile","352027521 - Catty Laos Virtual","352027117 - XYB - Ting mobile","Kerry-Siam (Xaiyabouli)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
45,IN670513-00139,DO670805-00024,865947064491992,"Catty Laos Virtual Mobile","LPB - Aphing Mobile ເມືອງປາກແຊງ","352027521 - Catty Laos Virtual","352026861 - LPB - Aphing Mobile","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
46,IN670513-00139,DO670805-00025,866155067159710,"Catty Laos Virtual Mobile",BKE - A mobile,"352027521 - Catty Laos Virtual","352031983 - BKE - A mobile","Kerry-LH (Bokeo)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
47,IN670513-00139,DO670805-00026,865020068928177,"Catty Laos Virtual Mobile","LPB - Phonephet","352027521 - Catty Laos Virtual","352026884 - LPB - Phonephet","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
48,IN670513-00139,DO670805-00027,869802068871473,"Catty Laos Virtual Mobile","XYB - SP Computer","352027521 - Catty Laos Virtual","352027108 - XYB - SP Computer","Kerry-Siam (Xaiyabouli)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
49,IN670513-00139,DO670805-00028,866155063797430,"Catty Laos Virtual Mobile","LPB - Nisa mobile","352027521 - Catty Laos Virtual","352031562 - LPB - Nisa mobile","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
50,IN670513-00139,DO670805-00029,863178061294815,"Catty Laos Virtual Mobile","XKH - Ahua Mobile1 Agent Shop","352027521 - Catty Laos Virtual","352027024 - XKH - Ahua Mobile1 Agent Shop","Kerry-A Hua (Xiengkhuang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
51,IN670513-00139,DO670805-00030,866067060728690,"Catty Laos Virtual Mobile","XKH - Douang mobile3 ຊຽງຂວາງ","352027521 - Catty Laos Virtual","352027029 - XKH - Douang mobile3","Kerry-A Hua (Xiengkhuang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
52,IN670513-00139,DO670805-00031,863671064410511,"Catty Laos Virtual Mobile","BKE - LF Mobile2","352027521 - Catty Laos Virtual","352031627 - BKE - LF Mobile1","Kerry-LH (Bokeo)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
53,IN670513-00139,DO670805-00032,867003064787415,"Catty Laos Virtual Mobile","BKE - Jaiy Lee mobile","352027521 - Catty Laos Virtual","352031933 - BKE - Jaiy Lee mobile","Kerry-LH (Bokeo)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
54,IN670513-00139,DO670805-00033,863671065726295,"Catty Laos Virtual Mobile","HPN - Adong Mobile","352027521 - Catty Laos Virtual","352026768 - HPN - Adong Mobile","Kerry - A Lei (Huaphan)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
55,IN670513-00139,DO670805-00034,867003064790773,"Catty Laos Virtual Mobile","LPB - Ahua mobile ນ້ຳບາກ","352027521 - Catty Laos Virtual","352026855 - LPB - Ahua mobile Nambark","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
56,IN670513-00139,DO670805-00035,863671065929675,"Catty Laos Virtual Mobile","LPB - Sonkua","352027521 - Catty Laos Virtual","352026888 - LPB - Sonkua","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
57,IN670513-00139,DO670805-00036,867003064791896,"Catty Laos Virtual Mobile","HPN - Along Mobile","352027521 - Catty Laos Virtual","352026772 - HPN - Along Mobile","Kerry - A Lei (Huaphan)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
58,IN670513-00139,DO670805-00037,863671065927570,"Catty Laos Virtual Mobile","LPB - Khonesamai","352027521 - Catty Laos Virtual","352026878 - LPB - Khonesamai","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
59,IN670513-00139,DO670805-00038,867003068162250,"Catty Laos Virtual Mobile","HPN - Abing mobile","352027521 - Catty Laos Virtual","352026765 - HPN - Abing mobile","Kerry - A Lei (Huaphan)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
60,IN670513-00139,DO670805-00039,863671065828455,"Catty Laos Virtual Mobile","LPB - Ahua mobile ນ້ຳບາກ","352027521 - Catty Laos Virtual","352026855 - LPB - Ahua mobile Nambark","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
61,IN670513-00139,DO670805-00040,867003068349675,"Catty Laos Virtual Mobile","LPB - QZ Mobile Agent Store","352027521 - Catty Laos Virtual","352026885 - LPB - QZ Mobile Agent Shop","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
62,IN670513-00139,DO670805-00041,863671065926754,"Catty Laos Virtual Mobile","LPB - HX","352027521 - Catty Laos Virtual","352026874 - LPB - HX","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
63,IN670513-00139,DO670805-00042,863178063481238,"Catty Laos Virtual Mobile","XYB - Daonoy mobile","352027521 - Catty Laos Virtual","352027078 - XYB - daonoy mobile","Kerry-Siam (Xaiyabouli)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
64,IN670513-00139,DO670805-00043,867003064628437,"Catty Laos Virtual Mobile","BKE - Lao fix phone","352027521 - Catty Laos Virtual","352026705 - BKE - Lao fix phone","Kerry-LH (Bokeo)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
65,IN670513-00139,DO670805-00044,863671064779576,"Catty Laos Virtual Mobile","HPN - Alei Mobile 4","352027521 - Catty Laos Virtual","352026764 - HPN - A Lei Mobile2 Agent (Huaphan)","Kerry - A Lei (Huaphan)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
66,IN670513-00139,DO670805-00045,867003064651199,"Catty Laos Virtual Mobile","XYB - Peno mobile","352027521 - Catty Laos Virtual","352027095 - XYB - Peno mobile","Kerry-Siam (Xaiyabouli)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
67,IN670513-00139,DO670805-00046,863178062372818,"Catty Laos Virtual Mobile","HPN - Hiengsone mobile","352027521 - Catty Laos Virtual","352026777 - HPN - Hiengsone mobile","Kerry - A Lei (Huaphan)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
68,IN670513-00139,DO670805-00047,866067060729573,"Catty Laos Virtual Mobile","SEK - Azhou Mobile","352027521 - Catty Laos Virtual","352026999 - SEK - Azhou Mobile","Kerry-ST (Sekong)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
69,IN670513-00139,DO670805-00048,867003064787613,"Catty Laos Virtual Mobile","BLX - Awei mobile ທ່າສີ","352027521 - Catty Laos Virtual","352026739 - BLX - Awei mobile Thasy","Kerry-Awen (Thakhaek)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
70,IN670513-00139,DO670805-00049,867003064791094,"Catty Laos Virtual Mobile","LPB - Ahua mobile ນ້ຳບາກ","352027521 - Catty Laos Virtual","352026855 - LPB - Ahua mobile Nambark","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
71,IN670513-00139,DO670805-00050,863671065830816,"Catty Laos Virtual Mobile","XKH - Pin mobile ຊຽງຂວາງ","352027521 - Catty Laos Virtual","352027042 - XKH - Pin mobile","Kerry-A Hua (Xiengkhuang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
72,IN670513-00139,DO670805-00051,867003067930152,"Catty Laos Virtual Mobile","CPS - Jk mobile3 Agent Store","352027521 - Catty Laos Virtual","352026952 - CPS - Jk mobile3 Agent Shop","Kerry-JK (Pakse)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
73,IN670513-00139,DO670805-00052,863671064784410,"Catty Laos Virtual Mobile","LPB - Khonesamai","352027521 - Catty Laos Virtual","352026878 - LPB - Khonesamai","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
74,IN670513-00139,DO670805-00053,867003068162375,"Catty Laos Virtual Mobile","HPN - Abing mobile","352027521 - Catty Laos Virtual","352026765 - HPN - Abing mobile","Kerry - A Lei (Huaphan)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
75,IN670513-00139,DO670805-00054,863671065929097,"Catty Laos Virtual Mobile","LPB - Khonesamai","352027521 - Catty Laos Virtual","352026878 - LPB - Khonesamai","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
76,IN670513-00139,DO670805-00055,867003068375159,"Catty Laos Virtual Mobile","BKE - oppo muang meung","352027521 - Catty Laos Virtual","352026704 - BKE - He Mobile1 HuyXaiy","Kerry-LH (Bokeo)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
77,IN670513-00139,DO670805-00056,863178063563878,"Catty Laos Virtual Mobile","HPN - xaithavone Mobile","352027521 - Catty Laos Virtual","352026785 - HPN - xaithavone Mobile","Kerry - A Lei (Huaphan)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
78,IN670513-00139,DO670805-00057,863671064399011,"Catty Laos Virtual Mobile","XSB - Aqing mobile2 Agent Store","352027521 - Catty Laos Virtual","352027051 - XSB - Aqing Agent Shop","Kerry-Aqing (Xaisomboun)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
79,IN670513-00139,DO670805-00058,867003064641711,"Catty Laos Virtual Mobile","LPB - LTH Mobile","352027521 - Catty Laos Virtual","352031775 - LPB - LTH Mobile","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
80,IN670513-00139,DO670805-00059,863671065929113,"Catty Laos Virtual Mobile","LPB - VJ Mobile","352027521 - Catty Laos Virtual","352026894 - LPB - VJ Mobile","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
81,IN670513-00139,DO670805-00060,863671064413010,"Catty Laos Virtual Mobile","LPB - HX","352027521 - Catty Laos Virtual","352026874 - LPB - HX","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
82,IN670513-00139,DO670805-00061,863178062783998,"Catty Laos Virtual Mobile","XSB - Boy mobile","352027521 - Catty Laos Virtual","352032254 - XSB - Boy mobile","Kerry-Aqing (Xaisomboun)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
83,IN670513-00139,DO670805-00062,863671064781515,"Catty Laos Virtual Mobile","XYB - TC mobile1","352027521 - Catty Laos Virtual","352027113 - XYB - TC mobile1","Kerry-Siam (Xaiyabouli)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
84,IN670513-00139,DO670805-00063,867003064782598,"Catty Laos Virtual Mobile","XYB - Saisana IT","352027521 - Catty Laos Virtual","352027100 - XYB - Saisana IT","Kerry-Siam (Xaiyabouli)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
85,IN670513-00139,DO670805-00064,867003064790419,"Catty Laos Virtual Mobile","LPB - Ahua mobile ນ້ຳບາກ","352027521 - Catty Laos Virtual","352026855 - LPB - Ahua mobile Nambark","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
86,IN670513-00139,DO670805-00065,863671065926879,"Catty Laos Virtual Mobile","LPB - LTH Mobile","352027521 - Catty Laos Virtual","352031775 - LPB - LTH Mobile","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
87,IN670513-00139,DO670805-00066,863671064410115,"Catty Laos Virtual Mobile","BKE - Jaiy Lee mobile","352027521 - Catty Laos Virtual","352031933 - BKE - Jaiy Lee mobile","Kerry-LH (Bokeo)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
88,IN670513-00139,DO670805-00067,867003064791151,"Catty Laos Virtual Mobile","LPB - Ahua mobile ນ້ຳບາກ","352027521 - Catty Laos Virtual","352026855 - LPB - Ahua mobile Nambark","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
89,IN670513-00139,DO670805-00068,867003067931416,"Catty Laos Virtual Mobile","BLX - Axin mobile ວຽງທອງ","352027521 - Catty Laos Virtual","352026741 - BLX - Axin mobile","Kerry-Awen (Thakhaek)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
90,IN670513-00139,DO670805-00069,867003068348255,"Catty Laos Virtual Mobile","SVK - ming Service","352027521 - Catty Laos Virtual","352027438 - SVK - ming Service","Kerry-INEW SVK (Savanakhet)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
91,IN670513-00139,DO670805-00070,863671064783594,"Catty Laos Virtual Mobile","LPB - Khonesamai","352027521 - Catty Laos Virtual","352026878 - LPB - Khonesamai","Kerry-QZ (Loungprabang)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
92,IN670513-00139,DO670805-00071,863178062062773,"Catty Laos Virtual Mobile","BKE - LH Mobile5","352027521 - Catty Laos Virtual","352026708 - BKE - LH Mobile Agent Shop","Kerry-LH (Bokeo)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
93,IN670513-00139,DO670805-00072,863671065828059,"Catty Laos Virtual Mobile","BKE - Lar Mobile","352027521 - Catty Laos Virtual","352026707 - BKE - Lar Mobile","Kerry-LH (Bokeo)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
94,IN670513-00139,DO670805-00073,867003064625896,"Catty Laos Virtual Mobile","HPN - Abing mobile","352027521 - Catty Laos Virtual","352026765 - HPN - Abing mobile","Kerry - A Lei (Huaphan)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
95,IN670513-00139,DO670805-00074,867003064650357,"Catty Laos Virtual Mobile","XYB - Peno mobile","352027521 - Catty Laos Virtual","352027095 - XYB - Peno mobile","Kerry-Siam (Xaiyabouli)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
96,IN670513-00139,DO670805-00075,863671065019774,"Catty Laos Virtual Mobile","XSB - Aqing mobile2 Agent Store","352027521 - Catty Laos Virtual","352027051 - XSB - Aqing Agent Shop","Kerry-Aqing (Xaisomboun)",CleanStockWithActivatedMoreThan2Months,Admin,"2024-08-05 15:08:17"
