Agency,Office,"Affiliated Distributor","Warehouse name",Leader,"Leader Tel.","Warehouse Address","Warehouse Type",Marketable,"AD Warehouse","Shipper Address","Shipper Name","Shipper Tel.",Company(Ship-From),"Shipment Remark",Level,"Tax name","Delegate depot name","Participation in Statement Statistics",Status,"Finance client name","External Code","store attribute",Country,Location
B3,B3-Huaphan,,"Kerry - A Lei (Huaphan)","A Lei",02022342235,"ບ້ານ ນາທົ່ງຈອງ ເມືອງ ຊຳເໜືອ ແຂວງ ຫົວພັນ","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"B3 / B3-Huaphan"
B3,B3-Xaisomboun,,"Kerry-Aqing (Xaisomboun)",Aqing,02098984477,"ເມືອງ ອະນຸວົງ ແຂວງ ໄຊສົມບູນ","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"B3 / B3-Xaisomboun"
B2,B2-Luangnamtha,,"Kerry-A Yao (Loungnamtha)","HU ZHEN",02052872000,"ບ້ານ ນາຫ້ອມ ເມືອງ ນ້ຳທາ  ເເຂວງ ຫຼວງນ້ຳທາ","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"B2 / B2-Luangnamtha"
C4,C4-Attapue,,"Kerry-ATA (Attapue)",Aphing,02097967889,"ບ້ານເມືອງໃໝ່ ເມືອງສາມັກຄີໄຊ ແຂວງອັດຕະປື","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"C4 / C4-Attapue"
B1,B1-Oudomxai,,"Kerry-A BAO (Oudomxai)",Abao,02055136660,"ບ້ານວັງໄຮ  ເມືອງໄຊ  ເເຂວງອຸດົມໄຊ","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"B1 / B1-Oudomxai"
B4,B4-Luangprabang,,"Kerry-QZ (Loungprabang)",chenqingzhou,02059012345,"ບ້ານ ໂພນແພງ ເມືອງ ຫຼວງພະບາງ ເເຂວງ ຫຼວງພະບາງ","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"B4 / B4-Luangprabang"
A1,"A1-Vientiane 1",,"WH - Stock OPPO (Mark)","OPPO LAOS",021228789,"ບ້ານ ໜອງຈັນ ເມືອງ ສິສັດຕະນາກ ເເຂວງ ນະຄອນຫຼວງວຽງຈັນ","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"A1 / A1-Vientiane 1"
"OPPO LAOS","OPPO LAOS",,"WH - Previous IMEI","OPPO LAOS",021228789,Office,"OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"OPPO LAOS / OPPO LAOS"
"OPPO LAOS","OPPO LAOS",,"WH - Stock After Sale (Afeng)",Afeng,85621228789,"ດົງປະລານ ສີສັດຕະນາກ ນະຄອນຫຼວງວຽງຈັນ","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"OPPO LAOS / OPPO LAOS"
"OPPO LAOS","OPPO LAOS",,"WH - Stock Broken (Afeng)",Afeng,021228789,"ດົງປະລານ ສີສັດຕະນາກ ນະຄອນຫຼວງວຽງຈັນ","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"OPPO LAOS / OPPO LAOS"
C1,C1-Khammuan,,"Kerry-Awen (Thakhaek)",ອາເຫວີນ,2058762888,"ບ້ານສຸກສະຫວັນ ເມືອງທ່າແຂກ ແຂວງຄຳມ່ວນ","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"C1 / C1-Khammuan"
C4,C4-Sekong,,"Kerry-ATeng (Sekong)",ອາແຕງ,02056673688,"ບ້ານທ່າແຕງເໜືອ ເມືອງທ່າແຕງ ແຊວງເຊກອງ","OPPO Warehouse",True,,,,,,,First-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"C4 / C4-Sekong"
